category,owner,risk,next_action,count,severity,source,first_path,first_line,last_path,last_line,signature
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211094,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211870,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_KlackonA]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211095,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211871,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_KlackonB]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211114,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211890,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_Nest]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211118,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211894,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_Organic]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211119,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211895,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_OrionPirate]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211125,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211901,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_Pirate]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211134,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211910,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_PsilonA]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211135,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211911,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_PsilonB]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211147,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211923,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_SETH_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211140,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211916,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_SakkraA]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211141,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211917,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_SakkraB]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211145,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211921,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_Selach]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211148,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211924,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_SilicoidA]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211149,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211925,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_SilicoidB]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211153,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211929,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_Sophon]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211182,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211958,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_Tulok]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211004,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211780,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_advanced_spiritualist]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt:
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211005,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211781,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_ag_ancient_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near li
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211006,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211782,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_aix_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211008,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211784,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_altlithoid_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near li
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211009,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211785,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_amoeboid_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211010,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211786,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_amphiboid_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near lin
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211012,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211788,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_ancient]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211011,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211787,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_ancient_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211014,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211790,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_aoshtai_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211015,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211791,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_aquan_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211016,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211792,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_architect_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near lin
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211017,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211793,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_artisan_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211018,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211794,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_asari_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211019,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211795,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_asura_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211020,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211796,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_atlantistw]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211021,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211797,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_authoritarian]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near li
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211022,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211798,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_automaton_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near lin
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211023,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211799,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_ba_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211024,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211800,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_bloodelf]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211025,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211801,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_bnod_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211026,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211802,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_borg]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211042,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211818,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_c_plantoid_03]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near li
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211043,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211819,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_c_plantoid_04]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near li
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211029,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211805,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_caitian]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211030,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211806,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cephalapoid_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near l
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211031,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211807,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cis_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211033,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211809,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_corporation_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near l
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211034,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211810,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cov_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211035,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211811,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_crustaceoid_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near l
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211036,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211812,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_css_fedbuild_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211037,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211813,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cucd_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211038,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211814,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cuelan_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211039,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211815,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cyberpunk_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near lin
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211040,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211816,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_cyborg_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211045,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211821,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_dirty_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211046,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211822,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_drow_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211047,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211823,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_dweller_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211049,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211825,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_eco]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211048,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211824,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_eco_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near line <n>
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211052,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211828,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_el_allayi_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near lin
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211053,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211829,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_el_cultist_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near li
director_owned,Stellar AI Director,Generated Director surface or copied override issue,"Fix generated output, rerun Director validator, and keep runtime proof separate.",4,info,megastructure_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211054,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,211830,megastructure_type.cpp:<line>: giga_consite_7_7_entity is not a valid entity for gfx culture [cr_el_morgrawr_01]. common/megastructures/zzzz_staid_03_megastructures_megastructures.txt: near l
